iter	Passed	Remaining
0	52	52834
1	73	36516
2	93	31076
3	111	27842
4	131	26144
5	148	24625
6	165	23507
7	183	22712
8	202	22341
9	221	21975
10	240	21658
11	259	21354
12	277	21062
13	295	20817
14	313	20571
15	330	20328
16	348	20150
17	364	19886
18	382	19736
19	400	19628
20	421	19653
21	439	19545
22	458	19466
23	476	19370
24	493	19264
25	512	19190
26	531	19136
27	547	18990
28	565	18929
29	582	18824
30	599	18753
31	618	18701
32	635	18611
33	653	18575
34	669	18455
35	702	18800
36	717	18671
37	735	18611
38	752	18545
39	769	18473
40	788	18436
41	805	18367
42	823	18320
43	843	18319
44	861	18288
45	880	18252
46	899	18246
47	917	18199
48	935	18164
49	956	18165
50	977	18193
51	997	18192
52	1016	18162
53	1034	18129
54	1058	18180
55	1077	18160
56	1094	18105
57	1112	18068
58	1130	18028
59	1148	17991
60	1166	17952
61	1185	17930
62	1203	17906
63	1222	17885
64	1242	17867
65	1262	17860
66	1280	17833
67	1298	17795
68	1316	17764
69	1336	17755
70	1355	17733
71	1374	17713
72	1394	17703
73	1413	17685
74	1433	17676
75	1451	17650
76	1473	17658
77	1492	17641
78	1511	17625
79	1530	17602
80	1549	17576
81	1564	17509
82	1582	17482
83	1599	17446
84	1617	17416
85	1635	17378
86	1653	17355
87	1673	17343
88	1690	17303
89	1709	17285
90	1728	17261
91	1745	17225
92	1763	17196
93	1781	17171
94	1799	17144
95	1817	17110
96	1835	17091
97	1852	17051
98	1872	17037
99	1891	17025
100	1911	17013
101	1929	16987
102	1949	16975
103	1967	16954
104	1987	16940
105	2006	16922
106	2024	16895
107	2040	16856
108	2062	16861
109	2083	16853
110	2101	16832
111	2120	16809
112	2138	16789
113	2156	16758
114	2173	16729
115	2190	16695
116	2208	16665
117	2225	16632
118	2243	16609
119	2261	16587
120	2282	16579
121	2300	16557
122	2318	16531
123	2337	16513
124	2357	16500
125	2376	16487
126	2395	16465
127	2414	16448
128	2432	16427
129	2451	16406
130	2468	16377
131	2487	16357
132	2507	16343
133	2524	16317
134	2543	16294
135	2560	16268
136	2579	16250
137	2597	16226
138	2615	16198
139	2632	16171
140	2651	16150
141	2669	16131
142	2688	16112
143	2708	16098
144	2727	16081
145	2745	16061
146	2764	16039
147	2782	16019
148	2797	15975
149	2814	15948
150	2832	15926
151	2850	15904
152	2868	15880
153	2886	15855
154	2904	15836
155	2923	15817
156	2938	15780
157	2956	15757
158	2975	15737
159	2994	15720
160	3010	15686
161	3028	15666
162	3047	15646
163	3066	15631
164	3085	15614
165	3104	15597
166	3123	15582
167	3143	15565
168	3160	15542
169	3174	15499
170	3192	15478
171	3210	15456
172	3229	15436
173	3248	15421
174	3266	15398
175	3283	15375
176	3302	15354
177	3319	15331
178	3339	15318
179	3359	15303
180	3377	15281
181	3395	15260
182	3414	15243
183	3433	15228
184	3452	15210
185	3471	15194
